canonical_team_name,country_code,confederation,api_football_team_name,api_football_team_id,elo_display_name,elo_slug
Kurdistan,KUR,,,,Kurdistan,Kurdistan
Bahrain,BHR,AFC,Bahrain,1547,Bahrain,Bahrain
Kazakhstan,KAZ,AFC,Kazakhstan,1095,Kazakhstan,Kazakhstan
China,CHN,AFC,China,1566,China,China
Benin,BEN,CAF,Benin,1516,Benin,Benin
Gabon,GAB,CAF,Gabon,1503,Gabon,Gabon
Niger,NER,CAF,Niger,1505,Niger,Niger
Trinidad and Tobago,TTO,CONCACAF,Trinidad and Tobago,5168,Trinidad and Tobago,Trinidad_and_Tobago
Uganda,UGA,CAF,Uganda,1519,Uganda,Uganda
Luxembourg,LUX,UEFA,Luxembourg,1102,Luxembourg,Luxembourg
Armenia,ARM,UEFA,Armenia,1094,Armenia,Armenia
Equatorial Guinea,GNQ,CAF,Equatorial Guinea,1521,Equatorial Guinea,Equatorial_Guinea
Faroe Islands,FRO,UEFA,Faroe Islands,1098,Faroe Islands,Faroe_Islands
North Korea,PRK,AFC,North Korea,1561,North Korea,North_Korea
Comoros,COM,CAF,Comoros,1524,Comoros,Comoros
Mozambique,MOZ,CAF,Mozambique,1512,Mozambique,Mozambique
Zambia,ZMB,CAF,Zambia,1507,Zambia,Zambia
Madagascar,MDG,CAF,Madagascar,1490,Madagascar,Madagascar
Thailand,THA,AFC,Thailand,1564,Thailand,Thailand
Estonia,EST,UEFA,Estonia,1101,Estonia,Estonia
Sudan,SDN,CAF,Sudan,1510,Sudan,Sudan
Reunion,REU,CAF,,,Reunion,Reunion
Sierra Leone,SLE,CAF,Sierra Leone,1499,Sierra Leone,Sierra_Leone
Kenya,KEN,CAF,Kenya,1511,Kenya,Kenya
Zimbabwe,ZWE,CAF,Zimbabwe,1522,Zimbabwe,Zimbabwe
Togo,TGO,CAF,Togo,1534,Togo,Togo
Indonesia,IDN,AFC,Indonesia,1571,Indonesia,Indonesia
Tanzania,TZA,CAF,Tanzania,1489,Tanzania,Tanzania
Azerbaijan,AZE,UEFA,Azerbaijan,1096,Azerbaijan,Azerbaijan
Guadeloupe,GLP,CONCACAF,Guadeloupe,10983,Guadeloupe,Guadeloupe
Lebanon,LBN,AFC,Lebanon,1551,Lebanon,Lebanon
Martinique,MTQ,CONCACAF,Martinique,8117,Martinique,Martinique
Vietnam,VNM,AFC,Vietnam,1542,Vietnam,Vietnam
Kuwait,KWT,AFC,Kuwait,1570,Kuwait,Kuwait
Nicaragua,NIC,CONCACAF,Nicaragua,5164,Nicaragua,Nicaragua
El Salvador,SLV,CONCACAF,El Salvador,5159,El Salvador,El_Salvador
Zanzibar,ZAN,,Zanzibar,10981,Zanzibar,Zanzibar
Malaysia,MYS,AFC,Malaysia,1538,Malaysia,Malaysia
Kyrgyzstan,KGZ,AFC,Kyrgyzstan,1554,Kyrgyzstan,Kyrgyzstan
Namibia,NAM,CAF,Namibia,1493,Namibia,Namibia
Mauritania,MRT,CAF,Mauritania,1491,Mauritania,Mauritania
