match_id,kickoff_utc,home,away,actual_h,actual_a,actual_outcome,model_name,lambda_h,lambda_a,p_home,p_draw,p_away,rps,nll,rmse_h,rmse_a,inference_run_id,cadence_mode
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,bayesian_poisson,2.083377243973902,0.6567327635873655,0.7065867619016974,0.1881272320740601,0.1052860060242423,0.048588235677934,1.9652766841901044,0.083377243973902,0.6567327635873655,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,mean_rate_poisson,1.3231990414856971,1.3231990414856971,0.3693966921388475,0.2612066157223048,0.3693966921388475,0.2670572240242749,2.779440621739484,0.6768009585143029,1.3231990414856971,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,negbin_glm,2.064924361196544,0.6115054593356154,0.7144946084661807,0.1872911497704758,0.0982142417633432,0.0455796829400139,1.919389807528849,0.0649243611965442,0.6115054593356154,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,poisson_glm,2.085788374851275,0.6621153362634168,0.7056952289556995,0.1881965702783552,0.1061082007659452,0.0489371242646121,1.9707570892405433,0.0857883748512748,0.6621153362634168,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,random_forest,2.4051321350959016,0.5334240241697962,0.7899015807080091,0.1460239930616561,0.0640744262303347,0.0241234389428699,1.8764936520730524,0.4051321350959016,0.5334240241697962,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,ridge,2.087452290241897,0.6630491600118178,0.7057750854499366,0.1880729401274617,0.1061519744226015,0.0489182710079043,1.971759985798154,0.087452290241897,0.6630491600118178,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,sarimax,2.3717559887481907,0.5636450522323004,0.7779884553361901,0.1516768893543835,0.0703346553094264,0.0271180448507533,1.9012870128981247,0.3717559887481907,0.5636450522323004,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1489369,2026-06-11 19:00:00+00:00,Mexico,South Africa,2,0,0,xgboost,2.380746841430664,0.6183064579963684,0.7667565312365286,0.1550407311229503,0.0782027376405211,0.0302590919476442,1.9573720052284849,0.380746841430664,0.6183064579963684,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,bayesian_poisson,1.1084885614466504,1.1640437997112896,0.3434159757393509,0.2855862514230975,0.3709977728375516,0.284370964182366,2.6077847023517373,0.8915114385533496,0.1640437997112895,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,mean_rate_poisson,1.3231990414856971,1.3231990414856971,0.3693966921388475,0.2612066157223048,0.3693966921388475,0.2670572240242749,2.499388300843556,0.6768009585143029,0.3231990414856971,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,negbin_glm,1.1050153637939648,1.1441364160583471,0.3465329262998049,0.2874247648499051,0.36604230885029,0.2805030941393736,2.607930352239502,0.8949846362060352,0.1441364160583471,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,poisson_glm,1.09841683266602,1.1509982140131074,0.3432170434031049,0.2873467577174501,0.3694361988794448,0.2839234785593258,2.6141928490466224,0.90158316733398,0.1509982140131074,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,random_forest,1.1602389896694223,1.1008644866584771,0.3715578319840775,0.2864248260850802,0.3420173419308424,0.2559577103609958,2.560902869826569,0.8397610103305777,0.1008644866584771,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,ridge,1.1588161770188308,1.4019088809300655,0.3108587446459643,0.2639095697855911,0.4252316855684446,0.3278688281211583,2.6212395502864023,0.8411838229811692,0.4019088809300655,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
1538999,2026-06-12 02:00:00+00:00,South Korea,Czechia,2,1,0,sarimax,1.2132909918220838,1.4371678639163816,0.3185720309171426,0.2590527069537255,0.4223752621291319,0.3213724695535203,2.5942586294506857,0.7867090081779162,0.4371678639163816,4f6ce4f0808b43fcb68d4acf10c5f1a8,frozen
