1958	09	24	DK	WG	1	1	F		5	1587	1877	0	0	48	11
1958	10	26	FR	WG	2	2	F		-5	1960	1882	−2	+1	4	10
1958	11	19	WG	AT	2	2	F		-4	1878	1822	0	0	10	13
1958	12	21	WG	BG	3	0	F		6	1884	1698	0	−1	10	32
1958	12	28	RR	WG	2	1	F		14	1630	1870	+1	−1	40	11
1959	05	06	SQ	WG	3	2	F		9	1810	1861	+2	0	13	10
1959	05	20	WG	PL	1	1	F		-8	1853	1593	0	+4	10	45
1959	10	04	CH	WG	0	4	F		-11	1578	1864	−1	+2	48	10
1959	10	21	WG	NL	7	0	F		9	1873	1715	0	−3	10	30
1959	11	08	HU	WG	4	3	F		4	1992	1869	0	0	3	10
1959	12	20	WG	YU	1	1	F		-2	1867	1890	0	0	11	10
1960	03	23	WG	CL	2	1	F		4	1871	1723	0	0	11	26
1960	04	27	WG	PT	2	1	F		3	1874	1693	0	−1	11	32
1960	05	11	WG	IE	0	1	F		-15	1859	1783	−2	+2	12	17
1960	08	03	IS	WG	0	5	F		-3	1301	1862	−1	0	110	12
1960	10	26	EI	WG	3	4	WQ		-17	1686	1879	−1	0	31	11
1960	11	20	GR	WG	0	3	WQ		-10	1463	1889	0	0	75	11
1960	11	23	BG	WG	2	1	F		11	1774	1878	+2	0	19	11
1961	03	08	WG	BE	1	0	F		2	1880	1597	0	0	11	47
1961	03	26	CL	WG	3	1	F		18	1734	1862	+1	0	26	11
1961	05	10	WG	EI	2	1	WQ		5	1867	1601	+1	−2	11	46
1961	09	20	WG	DK	5	1	F		7	1874	1694	0	−2	12	32
1961	10	08	PL	WG	0	2	F		-11	1660	1885	−1	0	37	12
1961	10	22	WG	GR	2	1	WQ		2	1887	1470	0	0	12	74
1962	04	11	WG	UY	3	0	F		14	1901	1907	+2	0	10	9
1962	05	31	IT	WG	0	0	WC	CL	1	1893	1900	0	+1	12	10
1962	06	03	WG	CH	2	1	WC	CL	13	1913	1665	+1	−4	9	34
1962	06	06	CL	WG	0	2	WC		-46	1771	1959	−2	+3	17	6
1962	06	10	YU	WG	1	0	WC	CL	27	2018	1932	+2	−3	2	8
1962	09	30	YU	WG	2	3	F		-13	1914	1945	0	+1	8	6
1962	10	24	WG	FR	2	2	F		-7	1938	1775	0	0	6	19
1962	12	23	WG	CH	5	1	F		3	1941	1616	0	−2	6	44
1963	05	05	WG	BR	1	2	F		-13	1928	1949	−3	+3	7	3
1963	09	28	WG	TR	3	0	F		5	1933	1697	+1	−1	6	30
1963	11	03	SE	WG	2	1	F		8	1904	1925	+2	−1	9	7
1963	12	29	MA	WG	1	4	F		-9	1640	1934	−4	+3	39	5
1964	01	01	DZ	WG	2	0	F		18	1773	1916	+4	−3	20	8
1964	04	29	WG	CS	3	4	F		-13	1903	1910	−2	+2	11	9
1964	05	12	WG	SQ	2	2	F		-2	1901	1930	0	+1	11	7
1964	06	07	FI	WG	1	4	F		-2	1319	1903	0	0	109	9
1964	11	04	WG	SE	1	1	WQ		-8	1895	1865	0	+2	10	13
1965	03	13	WG	IT	1	1	F		-2	1893	1936	0	0	10	5
1965	04	24	WG	CY	5	0	WQ		3	1896	1411	+1	−2	10	89
1965	05	12	WG	EN	0	1	F		-12	1884	1934	0	+1	10	5
1965	05	26	CH	WG	0	1	F		-6	1612	1890	−3	0	48	10
1965	06	06	BR	WG	2	0	F		9	1955	1881	+1	0	3	10
